Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR118*GAMIS120,"COMPUTER, Laptop, HP type , ELITE BOOK 840 GB NOTEBOOK PC WINDOWS 10 PRO 64,11TH GENERATION INTEL CORE i5 Processor 8GB BRAW 256GB SSD 14INCHES DIAGNOAL FHD",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS121,"COMPUTER, Laptop, HP type , ELITE BOOK 840 GB NOTEBOOK PC WINDOWS 10 PRO 64,11TH GENERATION INTEL CORE i5 Processor 8GB BRAW 256GB SSD 14INCHES DIAGNOAL FHD",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS132,"COMPUTER, LAPTOP, HP, I7-8550U 3.0GHZ 8GB RAM,SSD256 HDD 1TB",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*005527,"Computer, Laptop, HP, SN 5CD7498MQ5",PHASE I& II,GROUND,DCSS,Anaesthesia Office,V.Good,Active,
TR118*GAMIS119,"COMPUTER, Laptop, HpELITEBOOK 840 GB Processor /CHIPSET INTEL, CORE i7 (11TH GEN)1185G7 MEMORY:18GB)STOTRAGE:512GB,SSD M.2 2280 PCIE 3.0X4-NVM EXPRESS:(NVME),TRIPLES, ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS70,"COMPUTER, LAPTOP, INTEL CORE 15",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS76,"COMPUTER, Laptop, intel core I5-42104 with intel hd graphics",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS78,"COMPUTER, Laptop, intel core I5-42104 with intel hd graphics 4400",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS97,"COMPUTER, LAPTOP, INTER COREI7 1165UP",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS164,"COMPUTER, LAPTOP, MACBOOK PRO 15-ICH WITH RETINA DISPLAY ",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*007818,"Computer, Laptop, MacBook Pro, Apple 2023 M3, 18GB, 14-inch, SN: MX4WN7KJ6Q",MOI PHASE I &II,GROUND,ED,106,NEW,Active,
TR118*GAMIS109,"COMPUTER, Laptop, specification Hp laptop window II home interl core i7-1260 ( up to 7ghz,18 mb I3 S/N:CND2310TP9",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS110,"COMPUTER, Laptop, specification Hp laptop window II home interl core i7-1260 ( up to 7ghz,18 mb I3 S/N:CND2310TV6 ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS84,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS85,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS86,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS87,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS88,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS89,"COMPUTER, LAPTOP, SYSTEM MODEL,HP PROBOK 450 G8,24 INCHES",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS133,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS134,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS135,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS136,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS137,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS138,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS139,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS140,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS141,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS142,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS143,"COMPUTER, LAPTOP,DELL, INTEL CORE i7-7500U",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*003471,"COMPUTER, LAPTOP,DELL,SN:G7KZ0P2",MOI PHASE III,4 floor,DNS,"INCHARGE OFFICE,WARD 4B",VERY GOOD,Active,
TR118*GAMIS144,"COMPUTER, LAPTOP,HP ELITEBOOK , INTEL CORE 17,PROCESSOR/8GBRAM,1TB HDD,15.6",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS147,"COMPUTER, LAPTOP,HP PROBOOK G4 CORE i5",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS172,"COMPUTER, LAPTOP,HP, DM 4,CORE 5,4GB RAM,500GB HDD,7 WINDOW FINGER PRINT READER",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS148,"COMPUTER, LAPTOP,HP, ELITE BOOK G3 CORE i5 , 4GB RAM, 500gb HDD WIN 10 PRO 64BIT PRELOADED",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*000202,"Computer, Laptop,HP,15-FD0211NIA ,SN: 5CD3405LL3",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
TR118*000192,"Computer, Laptop,HP,15-FD0211NIA ,SN: 5CD3405LL3",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
TR118*GAMIS173,"COMPUTER, LAPTOP,HP,DM 4,CORE 5,4GB RAM,500GB HDD,7 WINDOW FINGER PRINT READER",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS174,"COMPUTER, LAPTOP,HP,DM 4,CORE 5,4GB RAM,500GB HDD,7 WINDOW FINGER PRINT READER",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR1118*007699,"COMPUTER, LAPTOP,LENOVO,SN:MP226LK6",MOI PHASE III,6 floor,DNS,"LEVEL6,IPC OFFICE",GOOD,Active,
TR118*GAMIS146,"COMPUTER, LAPTOP,PRO BOOK 450 G4-SILVER INTEL CORE I5-7200U INTEL HD GRAPHICS620",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*001304,"Computer, Lenovo, Monitor & CPU, SN MP2DQL03",PHASE I& II,GROUND,DNS,121,New,Active,
TR118*001262,"Computer, Monitor & CPU, Apple, SN PQ2LV7WYK6",PHASE I& II,GROUND,ED,106,New,Active,
TR118*001176,"Computer, Monitor & CPU, Dell, SN 00RDRX72872-62C-CG7U-AOO",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001177,"Computer, Monitor & CPU, Dell, SN DX50Z72",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001182,"Computer, Monitor & CPU, HP, SN 8CC2372348",PHASE I& II,GROUND,DNS,110,New,Active,
TR118*001178,"Computer, Monitor & CPU, HP, SN 8CC237234T",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001174,"Computer, Monitor & CPU, HP, SN 8CC2372356",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001179,"Computer, Monitor & CPU, HP, SN 8CC3090TZM",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001175,"Computer, Monitor & CPU, HP, SN 8CC3090VOM",PHASE I& II,GROUND,DNS,110,Good,Active,
TR118*001183,"Computer, Monitor & CPU, Lenovo, SN MP28W7PT",PHASE I& II,GROUND,DNS,110,New,Active,
TR118*005503,"Computer, Monitor & CPU, Lenovo, SN MP2AB4A3",PHASE I& II,GROUND,DCSS,Anaesthesia Office,V.Good,Active,
TR118*001473,"Computer, Monitor & CPU, Lenovo, SN MP2DFFQ3",PHASE I& II,GROUND,DNS,"2 (1,2,3)",New,Active,
TR118*001458,"Computer, Monitor & CPU, Lenovo, SN MP2DPFPW",PHASE I& II,GROUND,DNS,"3 (1,2,3)",Very Good,Active,
TR118*001465,"Computer, Monitor & CPU, Lenovo, SN MPNXS341201C",PHASE I& II,GROUND,DNS,"1 (1,2,3)",New,Active,
TR118*002432,"COMPUTER, MONITOR , TYPE DELL",PHASE III,1 FLOOR ,NUTRITION,NUTRITION,GOOD,Active,
TR118*002916,"COMPUTER, MONITOR ,HP",PHASE III,1 FLOOR ,ICU,INCHARGE OFFICE ICU,GOOD,Active,
TR118*002343,"COMPUTER, MONITOR ,HP",PHASE III,1 FLOOR ,LAB,SEROLOGY,VERY GOOD,Active,
TR118*006984,"COMPUTER, MONITOR ,HP",PHASE III,GROUND,EMD,PHYSICIAN,GOOD,Active,
TR118*001427,"Computer, Monitor and CPU, Lenovo, SN  MP2DPFMT",PHASE I& II,GROUND,OPD,115,New,Active,
TR118*006940,"COMPUTER, MONITOR DELL",PHASE III,GROUND,EMD,GENERALPHARMACY EMD,GOOD,Active,
TR118*006962,"COMPUTER, MONITOR DELL",PHASE III,GROUND,EMD,EMD COMMUNITY PHARMACY,GOOD,Active,
TR118*006919,"COMPUTER, MONITOR DELL",PHASE III,GROUND,EMD,INCHARGE OFFICE EMD,GOOD,Active,
TR118*006954,"COMPUTER, MONITOR DELL",PHASE III,GROUND,EMD,SOCIAL,GOOD,Active,
TR118*001677,"Computer, Monitor DELL, SN. CN-0U417N-64180-0BQ-3LDS",PHASE I& II,GROUND,TEEM,137,Poor,Active,
TR118*002450,"COMPUTER, MONITOR HP",PHASE III,1 FLOOR ,ICU,ICU DOCTORS ROOM,GOOD,Active,
TR118*006957,"COMPUTER, MONITOR HP",PHASE III,GROUND,EMD,EMD COMMUNITY PHARMACY,GOOD,Active,
TR118*006938,"COMPUTER, MONITOR HP",PHASE III,GROUND,EMD,GENERALPHARMACY EMD,GOOD,Active,
TR118*002370,"COMPUTER, MONITOR HP",PHASE III,1 FLOOR ,LAB,HEMATOLOGY,GOOD,Active,
TR118*000200,"Computer, Monitor HP, SN: CNC2031SNB",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,NEW,Active,
TR118*002709,"COMPUTER, MONITOR HP,ELITE DISPLAY E241i",PHASE III,1 FLOOR ,ICU,ICU ROOM 2,GOOD,Active,
TR118*006654,"COMPUTER, MONITOR LG",PHASE III,GROUND,RADIOLOGY,ANGIO SUITE CONTROL ROOM,GOOD,Active,
TR118*008533,"COMPUTER, MONITOR,  HP",PHASE III,BASEMENT,LAUNDRY,LAUNDRY,NEW,Active,
TR118*002136,"COMPUTER, MONITOR,  TYPE DELL",PHASE III,2 FLOOR,PHARMACY,IN PATIENT PHARMACY,GOOD,Active,
TR118*000452,"Computer, Monitor, Acer V196HQL, SN: MMLY0EE0073110969B8501",MOI PHASE I &II,FIRST FLOOR,DOT,ROOM NO 201,GOOD,Active,
TR118*002134,"COMPUTER, MONITOR, DELL",PHASE III,2 FLOOR,PHARMACY,IN PATIENT PHARMACY,GOOD,Active,
TR118*000517,"Computer, Monitor, Dell 3qtxt82, SN: CNOT9Y04FCC00746DP3BA00",MOI PHASE I &II,FIRST FLOOR,DAHRM,CONFEDENTAL OFFICE,GOOD,Active,
TR118*000607,"Computer, Monitor, Dell E170SB, SN: CNOP409N74261986357U",MOI PHASE I &II,FIRST FLOOR,DAHRM,265 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*001335,"Computer, Monitor, Dell SN CN-07CXPR-FCC00-7AH-CE11-A04",PHASE I& II,GROUND,ED,112,Good,Active,
TR118*001371,"Computer, Monitor, Dell SN cn-OT 9Y04 FCC00-75I-AF8I-AOO",PHASE I& II,GROUND,DNS,113,Fair,Active,
TR118*001029,"Computer, Monitor, Dell, ",PHASE I& II,GROUND,DCSS,Phamacy-IP/OP,Fair,Active,
TR118*001300,"Computer, Monitor, Dell, SN CN-07CXPR-FCC00-76Q-DPWI-AOO",PHASE I& II,GROUND,DNS,121,Good,Active,
TR118*001046,"Computer, Monitor, Dell, SN CN-0NK0P9-FCC00-1B3-E2YB-A07",PHASE I& II,GROUND,DCSS,Community Pharmacy,New,Active,
TR118*001056,"Computer, Monitor, Dell, SN CN-0NK0P9-FCC00-1B3-E58B-AO7",PHASE I& II,GROUND,DCSS,Community Pharmacy,Very Good,Active,
TR118*005934,"Computer, Monitor, Dell, SN CN-0NKOP9-FCC00-1B3E53B-A07",PHASE I& II,GROUND,DCSS,TEA ROOM,V.Good,Active,
TR118*005993,"Computer, Monitor, Dell, SN CN-0T9Y04FCC0098C-DDJB-A05",PHASE I& II,GROUND,DCSS,Sterilization,V.Good,Active,
TR118*001902,"Computer, Monitor, Dell, SN CN-0VO48Y-64180-36F-3288",PHASE I& II,GROUND,DCSS,OT Manager,V.Good,Active,
TR118*001057,"Computer, Monitor, Dell, SN CN-ONJVXM-72872-47E-AFKB",PHASE I& II,GROUND,DCSS,Community Pharmacy,Good,Active,
TR118*005936,"Computer, Monitor, Dell, SN CN-ONKOP9FCCOO-1B3-E2CB-A07",PHASE I& II,GROUND,DCSS,I/C Office Sterilization,V.Good,Active,
TR118*001172,"Computer, Monitor, Dell, SN CN-OODRRX",PHASE I& II,GROUND,DNS,110,Very Good,Active,
TR118*001330,"Computer, Monitor, Dell, SN CN-OPD06D-72872-42C-D5KM",PHASE I& II,GROUND,ED,112,Very Good,Active,
TR118*001332,"Computer, Monitor, Dell, SN CN-OPDO6D-72872-569-67KU",PHASE I& II,GROUND,ED,112,Very Good,Active,
TR118*001063,"Computer, Monitor, Dell, SN CN-OVO48Y-64180-365-5PEU",PHASE I& II,GROUND,DCSS,Community Pharmacy,Good,Active,
TR118*008719,"Computer, Monitor, DELL, SN. 00RDX72872-62NDD61A00",PHASE I& II,GROUND,DCSS,COMMUNITY PHARMACY WAITING AREA,Fair,Active,
TR118*001679,"Computer, Monitor, DELL, SN. CN-07CXPR-72872-6CU-DLTB-A00",PHASE I& II,GROUND,TEEM,137,Good,Active,
TR118*000998,"Computer, Monitor, DELL, SN. CN-0DFDMY",PHASE I& II,GROUND,DFP,105,Fair,Active,
TR118*001313,"Computer, monitor, DELL, SN. CN-0T9Y04-FCC00-74S-CPKB-A00",PHASE I& II,GROUND,DFP,112,Good,Active,
TR118*001311,"Computer, monitor, DELL, SN. CN-0T9Y04-FCC00-74S-CRRB-A00",PHASE I& II,GROUND,DFP,112,Good,Active,
TR118*001593,"Computer, Monitor, DELL, SN. CN-0X0T4K-72972-543-FJFB",PHASE I& II,GROUND,DCSS,X-RAY ROOM,Good,Active,
TR118*001023,"Computer, Monitor, DELL, SN. CN-OKCCCP-72872-331.",PHASE I& II,GROUND,DCSS,Phamacy-IP/OP,Good,Active,
