Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR118*0066673,"COMPUTER,CPU, HP, INTEL CORE i5",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*005498,"Computer,CPU, HP, Prodesk, 400 G5 Intel,Core i5,SN: CZC8477CPK",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 12,GOOD,Active,
TR118*008047,"Computer,CPU, HP, Prodesk, 400G5 MT CORE Itel,i5,SN:CZC84773JQ",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 5,GOOD,Active,
TR1118*007505,"COMPUTER,CPU, HP, SN : 2B1VY42",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR118*006091,"COMPUTER,CPU, HP, SN : 4CE0192TJH",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,GOOD,Active,
TR1118*007534,"COMPUTER,CPU, HP, SN : 4CE150CHM3",MOI PHASE III,6 floor,DCSS,"LEVEL 6, VIP PHYSIOTHERAPHY",VERY GOOD,Active,
TR1118*007525,"COMPUTER,CPU, HP, SN : 4CE251C8HM",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",VERY GOOD,Active,
TR118*006038,"COMPUTER,CPU, HP, SN : 4CE307B2TW",MOI PHASE III,5 floor,DNS,"CUBIC 2,WARD 5B",GOOD,Active,
TR1118*006429,"COMPUTER,CPU, HP, SN : 4CE8114QR7",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*006090,"COMPUTER,CPU, HP, SN : 4CE8181PWX",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,GOOD,Active,
TR1118*007507,"COMPUTER,CPU, HP, SN : 5GH439R5PV",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*007519,"COMPUTER,CPU, HP, SN : CZC6167P9N",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*006447,"COMPUTER,CPU, HP, SN : CZC910CTGF",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*007512,"COMPUTER,CPU, HP, SN : OCE8181PWK",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR118*003311,"COMPUTER,CPU, HP, SN :4C307B2W7",MOI PHASE III,3 floor,DNS,DNS OFFICE,NEW,Active,
TR118*003410,"COMPUTER,CPU, HP, SN :4CE312DSWR",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*000970,"Computer,CPU, HP, SN. 4CE12111RDS",PHASE I& II,GROUND,ADMN,102,Fair,Active,
TR118*003416,"COMPUTER,CPU, HP, SN: 4CE151DXPD",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003414,"COMPUTER,CPU, HP, SN: 4CE312F28V",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003418,"COMPUTER,CPU, HP, SN: 4CE8181TZW",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",GOOD,Active,
TR118*003412,"COMPUTER,CPU, HP, SN: 4CE946281K",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",VERY GOOD,Active,
TR1118*006446,"COMPUTER,CPU, HP, SN: CZC910CTXH",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*003426,"COMPUTER,CPU, HP, SN:4C15151DQZK",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003293,"COMPUTER,CPU, HP, SN:4CE307B2TX",MOI PHASE III,3 floor,DNS,"DNS OFFICE, NURSING MANAGERS",NEW,Active,
TR118*003292,"COMPUTER,CPU, HP, SN:4CE307B2W1",MOI PHASE III,3 floor,DNS,"DNS OFFICE, NURSING MANAGERS",NEW,Active,
TR118*003295,"COMPUTER,CPU, HP, SN:4CE307B2WQ",MOI PHASE III,3 floor,DNS,"DNS OFFICE, SECRETARY",GOOD,Active,
TR118*003296,"COMPUTER,CPU, HP, SN:UPA4060QLS",MOI PHASE III,3 floor,DNS,"DNS OFFICE, SECRETARY",NEW,Active,
MOI/DISP/EO/0512,"Computer,CPU, lenovo",,,,,,Active,
MOI/DISP/EO/0539,"Computer,CPU, lenovo",,,,,,Active,
MOI/DISP/EO/0614,"Computer,CPU, LENOVO H520E",,,,,,Active,
TR118*006251,"COMPUTER,CPU, LENOVO, SN : GM04WP8J",MOI PHASE III,6 floor,DNS,"LEVEL 6A, NURSING STATION",NEW,Active,
TR118*006089,"COMPUTER,CPU, LENOVO, SN : GM04WP8M",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,NEW,Active,
TR118*008065,"Computer,CPU, Prodesk, I 400G5, Intel, Core i5, SN:CZC84773JB",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 6,GOOD,Active,
TR118*002789,"COMPUTER,CPU,Dell OptiPlex 3040,core i5-6500",PHASE III,1 FLOOR ,ICU,ICU ROOM 3,GOOD,Active,
MOI/DISP/EO/0637,"Computer,CPU,DELL OPTPLEX 3010",,,,,,Active,
MOI/DISP/EO/0639,"Computer,CPU,DELL OPTPLEX 3020",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0635,"Computer,CPU,DELL OPTPLEX 780",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0633,"Computer,CPU,DELL OPTPLEX 9020",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0634,"Computer,CPU,DELL OPTPLEX 9020",,,,,,Active,
TR118*003151,"COMPUTER,CPU,DELL, SN:J06GV42",MOI PHASE III,3 floor,DFP,BILLING OFFICE,GOOD,Active,
TR118*006156,"COMPUTER,CPU,DELL,SN:4VYQY42",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR118*006122,"COMPUTER,CPU,DELL,SN:D5K9903",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR118*006107,"COMPUTER,CPU,DELL,SN:GHZJV42",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR118*007053,"COMPUTER,CPU,HP 290 G1 MT,corei5-7500",PHASE III,GROUND,EMD,EMERGENCE THEATER,GOOD,Active,
TR118*007272,"COMPUTER,CPU,HP 290 G4 Microtower Pc",PHASE III,GROUND,EMD,EMERGENCY CASHIER,GOOD,Active,
TR118*007300,"COMPUTER,CPU,HP 290 G4 Microtower PC",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
TR118*007311,"COMPUTER,CPU,HP 290 G4 Microtower PC",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
TR118*007297,"COMPUTER,CPU,HP 290 G4 Microtower PC",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
MOI/DISP/EO/0638,"computer,CPU,HP COMPACT",,,,,,Active,
TR118*007446,"COMPUTER,CPU,HP Compaq 4000 Pro SFF PC",PHASE III,GROUND,EMD,MOI CLIENT LOUNGE,GOOD,Active,
MOI/DISP/EO/0636,"Computer,CPU,HP PRODESK 600G1SFF",,,,,,Active,
TR118*003001,"COMPUTER,CPU,HP, SN:",MOI PHASE III,3 floor,DNS,CUBIC 1,VERY GOOD,Active,
TR118*003030,"COMPUTER,CPU,HP, SN: 4CE251C6KJ",MOI PHASE III,3 floor,DNS,CUBIC 2,VERY GOOD,Active,
TR118*003421,"COMPUTER,CPU,HP, SN: 4CE251C6ZQ",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003149,"COMPUTER,CPU,HP, SN:4CE251C70W",MOI PHASE III,3 floor,DFP,BILLING OFFICE,NEW,Active,
TR118*003146,"COMPUTER,CPU,HP, SN:8CG8505LJP",MOI PHASE III,3 floor,DFP,BILLING OFFICE,VERY GOOD,Active,
TR118*003157,"COMPUTER,CPU,HP, SN:SGH429T0CB",MOI PHASE III,3 floor,DFP,BILLING OFFICE,GOOD,Active,
TR118*008011,"Computer,CPU,HP,Intel,core i5 SN:CZC88776PF",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 10,GOOD,Active,
TR118*005478,"Computer,CPU,HP,Prodesk, 400 G5 Intel,Core i5,SN: CZC8477CQ3",MOI PHASE I &II,FIRST FLOOR,PHYSIO,PREMIER 2,GOOD,Active,
TR118*005460,"Computer,CPU,HP,Prodesk,400 G5,Intel,Core i5,SN: CZC8477H6B",MOI PHASE I &II,FIRST FLOOR,PHYSIO,PREMIER 1,GOOD,Active,
TR118*005488,"Computer,CPU,HP,Prodesk,400G5 Intel,Core i5,SN: CZC84773JH",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 1,GOOD,Active,
TR118*008035,"Computer,CPU,HP,Prodesk,400G5 MT,SN:CZC84773AM8",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 7,GOOD,Active,
TR118*003409,"COMPUTER,CPU,HP,SN : 4CE312DGJC",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003428,"COMPUTER,CPU,HP,SN:4C312DSWK",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*006155,"COMPUTER,CPU,HP,SN:4CE11718DG9",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR118*006157,"COMPUTER,CPU,HP,SN:4CE130YJ5K",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR1118*007798,"COMPUTER,CPU,HP,SN:4CE344DN6H",MOI PHASE I,GROUND FLOOR,DCSS,MCP NHIF,NEW,Active,
TR1118*007792,"COMPUTER,CPU,HP,SN:4CE344DN6K",MOI PHASE III,GROUND FLOOR,DCSS,EMERGENCY MCP,NEW,Active,
TR1118*007794,"COMPUTER,CPU,HP,SN:4CE344DN6M",MOI PHASE I,GROUND FLOOR,DCSS,MCP NHIF,NEW,Active,
TR1118*007796,"COMPUTER,CPU,HP,SN:4CE344DN6W",MOI PHASE I,GROUND FLOOR,DCSS,MCP IMPLANT,NEW,Active,
TR1118*007790,"COMPUTER,CPU,HP,SN:4CE344DN75",MOI PHASE I,GROUND FLOOR,DCSS,OT PHARMACY,NEW,Active,
TR1118*007739,"COMPUTER,CPU,HP,SN:4CE344DN95",MOI PHASE III,6 floor,DNS,"LEVEL6,NHIF SUBMISSION OFFICE",NEW,Active,
TR118*003154,"COMPUTER,CPU,HP,SN:8CG8505LJY",MOI PHASE III,3 floor,DFP,BILLING OFFICE,GOOD,Active,
TR118*003762,"COMPUTER,CPU,HP,SN:C4CE214BF93",MOI PHASE III,5 floor,DNS,"WARD 5A,INCHARGE OFFICE",VERY GOOD,Active,
TR118*003340,"COMPUTER,CPU,HP,SN:CMIIT ID:2017AJ2172",MOI PHASE III,3 floor,DNS,"CUBIC 2,3B",VERY GOOD,Active,
TR1118*006372,"COMPUTER,CPU,HP,SN:CZC023945V",MOI PHASE III,6 floor,DNS,"LEVEL 6B,NURSING STATION",GOOD,Active,
TR118*006153,"COMPUTER,CPU,HP,SN:CZC85079TM",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR118*003517,"COMPUTER,CPU,HP,SN:CZC8507BOV",MOI PHASE III,4 floor,DNS,"WARD 4A, CUBIC 1",GOOD,Active,
TR118*003685,"COMPUTER,CPU,HP,SN:CZC93593R0",MOI PHASE III,4 floor,DNS,"CUBIC 2,WARD 4B",VERY GOOD,Active,
TR118*003239,"COMPUTER,CPU,HP,SN:SGH429SVTK",MOI PHASE III,3 floor,DNS,"CUBIC 1,3B",GOOD,Active,
TR118*006955,"COMPUTER,CPU,Intel® Core™ i5-6500 @3.20GHz",PHASE III,GROUND,EMD,SOCIAL,GOOD,Active,
TR118*002352,"COMPUTER,CPU,LENOVO corei7-12700",PHASE III,1 FLOOR ,LAB,BLOOD TRANSFUSSION,GOOD,Active,
TR118*006187,"COMPUTER,CPU,LENOVO,SN:GM04WP86",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 5",GOOD,Active,
TR118*006182,"COMPUTER,CPU,LENOVO,SN:GM050A55",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 20",GOOD,Active,
TR118*007494,"COMPUTER,CPU.HP ProDesk 400 G6 MT",PHASE III,GROUND,EMD,EMERGENCE THEATER INCHARGE OFFICE,GOOD,Active,
TR118*GAMIS476,"COMPUTER,DELL OPTIPLEX 7040 4GB RAM 500 HDD CORE 15",MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
,"COMPUTER,DESK TOP - DELL OPTIPLEX 7040",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS2,"COMPUTER,DESKTOP CORE I5  PROCESSOR",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS361,"COMPUTER,HP PRINTER LASERJET PRO 402 DN",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS260,"COMPUTER,IBM AND HP WORKSTATIONS",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS261,"COMPUTER,IBM AND HP WORKSTATIONS",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS262,"COMPUTER,IBM AND HP WORKSTATIONS",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*003289,"COMPUTER,LAPTOP, DELL, SN: 87KZOP2",MOI PHASE III,3 floor,DNS,"DNS OFFICE, NURSING MANAGERS",FAIR,Active,
TR118*003638,"COMPUTER,LAPTOP, DELL, SN:47KZ0P2",MOI PHASE III,4 floor,DNS,"WARD 4B, INCHARGE OFFICE",GOOD,Active,
TR118*006253,"COMPUTER,LAPTOP, LENOVO, SN :MP2KL8ZR",MOI PHASE III,6 floor,DNS,"LEVEL 6A, NURSING STATION",NEW,Active,
TR118*007968,"Computer,Laptop,HP 15-fd0211nia, core i5,G13, SN: 5CD3405LLZ",MOI PHASE I & II,FIRST FLOOR,PMU,239: PMU STAFF OFFICE,NEW,Active,
TR118*GAMIS145,"COMPUTER,LAPTOP,HP ELITE BOOK 850 G3 ENERGY,RAM 4GB PROCESSOR INTEL CORE TM) i7 ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*007831,"Computer,Laptop,HP Elitebook 840 G8, SN: 5CG13919CX",MOI PHASE III,4 floor,ICTM,CLINICAL RESEARCH,NEW,Active,
TR118*007852,"Computer,Laptop,HP Elitebook x360 1040 G8,SN:CND30518GZ",MOI PHASE I & II,GROUND FLOOR,DCSS,ANAETHESIA(THEATRE),NEW,Active,
TR118*006183,"COMPUTER,LAPTOP,HP PRO BOOK",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 21",GOOD,Active,
MOI/DISP/OE/0801,"Computer,Laptop,HP Probook 450 G3, SN:5CD6310DKD",MOI PHASE III,2 Floor,DNS,2A,,Active,
TR118*007834,"Computer,Laptop,HP Victus 15-fa0032dx,SN:5CD241BB8H",MOI PHASE III,5 floor,ICTM,ICTM,VERY GOOD,Active,
TR118*005417,"COMPUTER,Laptop,HP,Envy, X360 15-EW0797NN,Intel, Core, i7,SN: CND2310TP9",MOI PHASE I &II,FIRST FLOOR,PMU,PMU MANAGER,NEW,Active,
TR1118*007801,"COMPUTER,LAPTOP,HP,PROBOOK,SN:5CD347F270",MOI PHASE III,BASEMENT,DCSS,GENERAL PHARMACY STORE,NEW,Active,
TR1118*007800,"COMPUTER,LAPTOP,HP,PROBOOK,SN:5CD347F27V",MOI PHASE I,GROUND FLOOR,DCSS,MCP STORE,NEW,Active,
TR1118*007799,"COMPUTER,LAPTOP,HP,PROBOOK,SN:5CD347F295",MOI PHASE III,3 floor,DCSS,HEAD OF PHARMACY,NEW,Active,
TR118*006113,"COMPUTER,LENOVO AIO M90,SN:GMODMS54",MOI PHASE III,5 floor,ICTM,ICT MANAGER,NEW,Active,
TR118*006179,"COMPUTER,LENOVO AIO M90,SN:IS10F2001KAXPC0AGH65",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 17",VERY GOOD,Active,
TR118*006995,"COMPUTER,MONITOR ,HP",PHASE III,GROUND,EMD,CONSULATION ROOM VIP,GOOD,Active,
TR118*007052,"COMPUTER,MONITOR ,HP",PHASE III,GROUND,EMD,EMERGENCE THEATER,FAIR,Active,
TR118*006736,"COMPUTER,MONITOR ,HP ,SERIAL NA. CN7440JFV",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD,Active,
TR118*002788,"COMPUTER,MONITOR DELL",PHASE III,1 FLOOR ,ICU,ICU ROOM 3,GOOD,Active,
TR118*002873,"COMPUTER,MONITOR DELL",PHASE III,1 FLOOR ,ICU,ICU ROOM 1,GOOD,Active,
TR118*002787,"COMPUTER,MONITOR DELL",PHASE III,1 FLOOR ,ICU,ICU ROOM 3,GOOD,Active,
TR118*0066663,"COMPUTER,MONITOR DELL S/N 72492",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,OFFICE 1,GOOD,Active,
TR118*007271,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCY CASHIER,GOOD,Active,
TR118*007493,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCE THEATER INCHARGE OFFICE,GOOD,Active,
TR118*002470,"COMPUTER,MONITOR HP",PHASE III,1 FLOOR ,HDU,INCHARGE OFFICE,GOOD,Active,
TR118*002946,"COMPUTER,MONITOR HP",PHASE III,GROUND,RADIOLOGY,ULTRASOUND,GOOD,Active,
TR118*007445,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,MOI CLIENT LOUNGE,GOOD,Active,
TR118*002467,"COMPUTER,MONITOR HP",PHASE III,1 FLOOR ,HDU,INCHARGE OFFICE,NEW,Active,
TR118*007299,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
TR118*007310,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
TR118*007298,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCY,GOOD,Active,
TR118*007258,"COMPUTER,MONITOR HP",PHASE III,GROUND,EMD,EMERGENCY RECEPTION,GOOD,Active,
MOI/DISP/EO/0584,"Computer,MONITOR,  HP LV2011",,,,,,Active,
MOI/DISP/EO/0576,"Computer,MONITOR,  HP V214B",,,,,,Active,
MOI/DISP/EO/0579,"Computer,MONITOR,  WJ1716EI",,,,,,Active,
MOI/DISP/EO/0598,"Computer,MONITOR, ACER V196HQL",,,,,,Active,
TR118*006780,"COMPUTER,MONITOR, DELL  SN 05MG3G",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
MOI/DISP/EO/0608,"Computer,MONITOR, DELL E11912HC",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0612,"Computer,MONITOR, DELL E170SB",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0603,"Computer,MONITOR, DELL E170SB",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0568,"Computer,MONITOR, DELL E170SB",,,,,,Active,
MOI/DISP/EO/0575,"Computer,MONITOR, DELL E170SB",,,,,,Active,
MOI/DISP/EO/0597,"Computer,MONITOR, DELL E173FPF",,,,,,Active,
MOI/DISP/EO/0595,"Computer,MONITOR, DELL E178WFPC",,,,,,Active,
MOI/DISP/EO/0592,"Computer,MONITOR, DELL E1912HC",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0605,"Computer,MONITOR, DELL E1912HC",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0585,"Computer,MONITOR, DELL E1912HC",,,,,,Active,
MOI/DISP/EO/0611,"Computer,MONITOR, DELL E1916H",,,,,,Active,
MOI/DISP/EO/0574,"Computer,MONITOR, DELL E1916HEF",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0587,"Computer,MONITOR, DELL E1916HEF",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0564,"Computer,MONITOR, DELL E1916HF",,,,,,Active,
MOI/DISP/EO/0577,"Computer,MONITOR, DELL E1916HPF",,,,,,Active,
MOI/DISP/EO/0586,"Computer,MONITOR, DELL E1916HVF",,,,,,Active,
MOI/DISP/EO/0571,"Computer,MONITOR, DELL E2014HF",,,,,,Active,
MOI/DISP/EO/0601,"Computer,MONITOR, DELL E2014HF",,,,,,Active,
MOI/DISP/EO/0588,"Computer,MONITOR, DELL E2016HV",,,,,,Active,
MOI/DISP/EO/0620,"Computer,MONITOR, DELL P551",,,,,,Active,
TR118*006680,"COMPUTER,MONITOR, DELL,  SN 0M MK 3972872590",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR1118*007509,"COMPUTER,MONITOR, DELL, CN-0T9Y04-FCC00-74S-CRCB-A00",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*007511,"COMPUTER,MONITOR, DELL, SN : CN-00RDRX-72872-639-AAPD-A00",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*006435,"COMPUTER,MONITOR, DELL, SN : CN-OT9Y04-72872-71J-BPYV-AOO",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*006678,"COMPUTER,MONITOR, DELL, SN ODFDMI728725AD",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*003413,"COMPUTER,MONITOR, DELL, SN: CN-07CXPR-72872-6CU-D74B-A00",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",VERY GOOD,Active,
TR1118*006413,"COMPUTER,MONITOR, DELL, SN-OT9Y04-FCC00-745-74S-ARH8-A00",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*006434,"COMPUTER,MONITOR, EIZO, ALL IN ONE, SN : 46512116CIF",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*006804,"COMPUTER,MONITOR, HP",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 1,GOOD ,Active,
TR118*007186,"COMPUTER,MONITOR, HP",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,WORKSHOP,FAIR,Active,
TR118*008535,"COMPUTER,MONITOR, HP",PHASE III,BASEMENT,LAUNDRY,LAUNDRY,NEW,Active,
TR118*006787,"COMPUTER,MONITOR, HP 3CQ2130X7R",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 2,GOOD ,Active,
TR118*0066776,"COMPUTER,MONITOR, HP 9TY24AA/9Y24AS ",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
MOI/DISP/EO/0566,"Computer,MONITOR, HP E231",,,,,,Active,
MOI/DISP/EO/0619,"Computer,MONITOR, HP L1710",,,,,,Active,
MOI/DISP/EO/0589,"Computer,MONITOR, HP LV2011",,,,,,Active,
MOI/DISP/EO/0610,"Computer,MONITOR, HP LV2011",,,,,,Active,
MOI/DISP/EO/0582,"computer,MONITOR, HP LV2011",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0581,"Computer,MONITOR, HP P19B G4 WXGA",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0580,"Computer,MONITOR, HP P19B G4 WXGA",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0599,"Computer,MONITOR, HP P19B G4 WXGA",,,,,,Active,
MOI/DISP/EO/0563,"Computer,MONITOR, HP P21B G4 FHD",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
TR118*006778,"COMPUTER,MONITOR, HP SN MC80525VG",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
TR118*006802,"COMPUTER,MONITOR, HP SNC1211KFC",PHASE III,BASEMENT,STORE,SUPPLIES UNIT NO 1,GOOD ,Active,
MOI/DISP/EO/0593,"Computer,MONITOR, HP V194",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0569,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0565,"Computer,MONITOR, HP V197",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0573,"Computer,MONITOR, HP V197",MOI PHASE III,GROUND,STORE,STORE,POOR,Active,
MOI/DISP/EO/0606,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0572,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0594,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0602,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0607,"Computer,MONITOR, HP V197",,,,,,Active,
MOI/DISP/EO/0609,"Computer,MONITOR, HP V214A",,,,,,Active,
MOI/DISP/EO/0596,"Computer,MONITOR, HP W1972A",,,,,,Active,
TR1118*006417,"COMPUTER,MONITOR, HP, MODEL NO  : HPN246V",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*006674,"COMPUTER,MONITOR, HP, S/N 1CR1501WQR",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR1118*007533,"COMPUTER,MONITOR, HP, SN : 1CR2130KRO",MOI PHASE III,6 floor,DCSS,"LEVEL 6, VIP PHYSIOTHERAPHY",VERY GOOD,Active,
TR118*006086,"COMPUTER,MONITOR, HP, SN : 1CR94603T7",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,VERY GOOD,Active,
TR1118*007508,"COMPUTER,MONITOR, HP, SN : 3CQ25005YQ",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*007510,"COMPUTER,MONITOR, HP, SN : 3CQ71915K8",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR1118*006430,"COMPUTER,MONITOR, HP, SN : 3CQ81506K1",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*003312,"COMPUTER,MONITOR, HP, SN : 42173YKM",MOI PHASE III,3 floor,DNS,DNS OFFICE,NEW,Active,
TR1118*006448,"COMPUTER,MONITOR, HP, SN : 6CM8151LP4",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
